Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201801,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Deplaned,Cargo,Passenger,142985,64.858
201801,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Enplaned,Cargo,Passenger,188674,85.583
201801,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,72891,33.063
201801,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,6411,2.908
201801,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,39024,17.701
201801,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,92528,41.971
201801,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,23310,10.573
201801,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,840,0.381
201801,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,455061,206.416
201801,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,406416,184.35
201801,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,669696,303.774
201801,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,23699,10.75
201801,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,314343,142.586
201801,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,25388,11.516
201801,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Cargo,Passenger,41709,18.919
201801,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Mail,Passenger,5369,2.435
201801,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Cargo,Passenger,22228,10.083
201801,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,177858,80.676
201801,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,1197,0.543
201801,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,363247,164.769
201801,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,30831,13.985
201801,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Cargo,Passenger,10567,4.793
201801,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Cargo,Passenger,2266,1.028
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,72984,33.106
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,4049,1.837
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,57051,25.878
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,90385,40.999
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,667,0.303
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,42499,19.278
201801,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Mail,Passenger,6506,2.951
201803,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Mail,Passenger,21726,9.855
201803,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,825189,374.306
201803,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,1308330,593.458
201803,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,50896,23.086
201803,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Cargo,Passenger,276599,125.465
201803,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,43770,19.854
201803,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,147473,66.894
201803,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Cargo,Passenger,271739,123.261
201803,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Mail,Passenger,82127,37.253
201803,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Cargo,Passenger,31924,14.481
201803,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Mail,Passenger,43849,19.89
201803,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Deplaned,Cargo,Freighter,17025,7.723
201803,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Enplaned,Cargo,Freighter,14638,6.64
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Cargo,Passenger,1047130,474.978
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Express,Passenger,10685,4.847
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Mail,Passenger,582780,264.349
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Cargo,Passenger,313146,142.043
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Express,Passenger,3195,1.449
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Mail,Passenger,23976,10.876
201803,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,1318334,597.996
201803,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,10456,4.743
201803,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,55161,25.021
201803,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,749220,339.846
201803,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Express,Passenger,10313,4.678
201803,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Cargo,Passenger,245892,111.537
201803,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,168799,76.567
201803,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,6050,2.744
201803,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,12769,5.792
201803,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,12164,5.518
201803,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,10522,4.773
201803,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,1150019,521.649
201803,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Mail,Passenger,9616,4.362
201803,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Cargo,Passenger,776725,352.322
201803,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Mail,Passenger,47101,21.365
201803,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Deplaned,Cargo,Passenger,11797,5.351
201803,TACA International Airlines, S.A.,TA,TACA International Airlines, S.A.,TA,International,Central America,Enplaned,Cargo,Passenger,1388,0.63
201803,Total Airport Services, Inc. (Inactive),,Total Airport Services, Inc. (Inactive),,Domestic,US,Deplaned,Cargo,Freighter,117340,53.225
201803,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Cargo,Passenger,781090,354.302
201803,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Cargo,Passenger,765151,347.072
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,3261973,1479.631
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Express,Passenger,42978,19.495
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,2466464,1118.788
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,4566908,2071.549
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Express,Passenger,97071,44.031
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,2059970,934.402
201803,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Cargo,Passenger,8578350,3891.14
201803,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Express,Passenger,122,0.055
201803,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Mail,Passenger,378377,171.632
201803,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,3454903,1567.144
201803,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,5915,2.683
201803,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Mail,Passenger,805360,365.311
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Cargo,Passenger,1415381,642.017
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Express,Passenger,7,0.003
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,691,0.313
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Cargo,Passenger,581621,263.823
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Express,Passenger,77,0.035
201803,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,49250,22.34
201803,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Cargo,Passenger,642,0.291
201803,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Cargo,Passenger,10035,4.552
201803,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Express,Passenger,103,0.047
201803,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,43572,19.764
201803,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Cargo,Passenger,2159730,979.654
201803,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Express,Passenger,164,0.074
201803,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Mail,Passenger,258822,117.402
201803,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Cargo,Passenger,2286919,1037.346
201803,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Express,Passenger,884,0.401
201803,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Mail,Passenger,133282,60.457
201803,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Cargo,Passenger,46131,20.925
201803,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Express,Passenger,240,0.109
201803,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Cargo,Passenger,7377,3.346
201803,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Express,Passenger,235,0.107
201803,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Mail,Passenger,25764,11.687
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Cargo,Passenger,413551,187.587
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Express,Passenger,8921,4.047
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Cargo,Passenger,206529,93.682
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Express,Passenger,8584,3.894
201803,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Mail,Passenger,27450,12.451
201803,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,1032462,468.325
201803,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,1340049,607.846
201803,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Cargo,Passenger,124354,56.407
201803,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Cargo,Passenger,49851,22.612
201804,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Deplaned,Cargo,Passenger,187394,85.002
201804,Aer Lingus, Ltd.,EI,Aer Lingus, Ltd.,EI,International,Europe,Enplaned,Cargo,Passenger,120081,54.469
201804,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,105967,48.067
201804,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,12981,5.888
201804,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,36020,16.339
201804,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,125983,57.146
201804,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,64525,29.269
201804,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,753384,341.735
201804,Air China,CA,Air China,CA,International,Asia,Deplaned,Mail,Passenger,210622,95.538
201804,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,434766,197.21
201804,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,384100,174.228
201804,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,12183,5.526
201804,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,199987,90.714
201804,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,16224,7.359
201804,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Cargo,Passenger,620551,281.482
201804,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Mail,Passenger,23589,10.7
201804,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Cargo,Passenger,169024,76.669
201804,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,308647,140.002
201804,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,318909,144.657
201804,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,14126,6.408
201804,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Cargo,Passenger,1808,0.82
201804,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Cargo,Passenger,1586,0.719
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,152515,69.181
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,1758,0.797
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,13875,6.294
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,108632,49.275
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,1797,0.815
201804,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,33574,15.229
201804,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Mail,Passenger,45597,20.683
201804,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,1089403,494.153
201804,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,300231,136.185
201804,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,543899,246.713
201804,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,283028,128.382
201804,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,392818,178.182
